session_depth;demo.guru99.com%3D2%7C224278574%3D2;demo.guru99.com;/;Sat Aug 25 22:24:15 EEST 2018;false
bfp_sn_pl;1535223249_260416232553;.guru99.com;/;Sat Aug 25 22:24:15 EEST 2018;false
bafp;4064bfc0-a898-11e8-b8fd-6f57bf95f66a;.demo.guru99.com;/;Tue Dec 31 02:00:00 EET 2030;false
_ga;GA1.2.2099923474.1535223250;.guru99.com;/;Mon Aug 24 21:54:15 EEST 2020;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Sat Aug 25 21:55:09 EEST 2018;false
bfp_sn_rf_8b2087b102c9e3e5ffed1c1478ed8b78;1535223249_260416232553_8b2087b102c9e3e5ffed1c1478ed8b78_Direct;.guru99.com;/;Sat Aug 25 22:24:15 EEST 2018;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.1191251667.1535223250;.guru99.com;/;Sun Aug 26 21:54:15 EEST 2018;false
